"Month","Average monthly temperatures across the world"
"1991,08",20.8
"1991,09",17.3
"1991,10",9.8
"1991,11",6.1
"1991,12",?1.2
"1992,01",1.9
"1992,02",4.2
"1992,03",7.0
"1992,04",11.5
"1992,05",16.1
"1992,06",19.7
"1992,07",21.3
"1992,08",24.5
"1992,09",17.7
"1992,10",10.8
"1992,11",7.0
"1992,12",1.4
"1993,01",1.5
"1993,02",0.9
"1993,03",6.0
"1993,04",11.8
"1993,05",18.2
"1993,06",19.7
"1993,07",20.7
"1993,08",21.3
"1993,09",16.2
"1993,10",12.7
"1993,11",2.2
"1993,12",2.1
"1994,01",3.8
"1994,02",3.0
"1994,03",10.6
"1994,04",11.3
"1994,05",16.1
"1994,06",19.8
"1994,07",23.0
"1994,08",22.5
"1994,09",19.0
"1994,10",9.7
"1994,11",7.9
"1994,12",2.3
"1995,01",1.2
"1995,02",6.1
"1995,03",6.0
"1995,04",11.9
"1995,05",15.5
"1995,06",18.2
"1995,07",22.9
"1995,08",20.0
"1995,09",15.7
"1995,10",12.5
"1995,11",5.1
"1995,12",1.6
"1996,01",?0.7
"1996,02",?0.6
"1996,03",4.0
"1996,04",11.0
"1996,05",17.3
"1996,06",20.4
"1996,07",19.6
"1996,08",20.7
"1996,09",14.1
"1996,10",12.2
"1996,11",8.3
"1996,12",?0.9

Average monthly temperatures across the world

